source	target	interaction	weight
ABCA1	ACOX3	interacts_with	0.492
ABCA1	AGO1	interacts_with	0.563
ABCA1	CH25H	interacts_with	0.487
ABCA1	CYP7B1	interacts_with	0.486
ABCA1	INS	interacts_with	0.742
ABCA1	LEP	interacts_with	0.646
ABCA1	LPA	interacts_with	0.74
ABCA1	MOV10	interacts_with	0.503
ABCA1	NCOR2	interacts_with	0.513
ABCA1	SMARCD3	interacts_with	0.401
ABCA1	SPTLC3	interacts_with	0.576
ABCA1	UTRN	interacts_with	0.706
ABCC6	XYLT1	interacts_with	0.851
ACE	C3	interacts_with	0.428
ACE	DPP3	interacts_with	0.415
ACE	GRK4	interacts_with	0.566
ACE	HP	interacts_with	0.444
ACE	INS	interacts_with	0.849
ACE	LEP	interacts_with	0.611
ACE	LPA	interacts_with	0.417
ACE	NR3C2	interacts_with	0.891
ACOX3	COASY	interacts_with	0.541
ACOX3	INS	interacts_with	0.527
ACOX3	LEP	interacts_with	0.439
ACOX3	SPTLC3	interacts_with	0.473
ADCY10	ENTPD8	interacts_with	0.66
ADCY10	GALT	interacts_with	0.768
ADCY10	LPA	interacts_with	0.528
ADCY10	NME1	interacts_with	0.694
ADCY10	NME1-NME2	interacts_with	0.703
ADCY10	NME2	interacts_with	0.707
ADCY10	NME3	interacts_with	0.694
ADCY10	NME4	interacts_with	0.694
ADCY10	PDE1C	interacts_with	0.716
ADCY10	PDE4B	interacts_with	0.71
ADCY10	PKM	interacts_with	0.881
ADGRL2	INS	interacts_with	0.424
ADGRL2	LRMDA	interacts_with	0.695
ADGRL2	TENM2	interacts_with	0.998
ADGRL2	TLR3	interacts_with	0.531
ADGRL2	TSKU	interacts_with	0.536
ADTRP	F13A1	interacts_with	0.428
AFF1	AFF3	interacts_with	0.769
AFF1	PAX5	interacts_with	0.423
AFF1	SUB1	interacts_with	0.611
AFF3	SUB1	interacts_with	0.574
AFF3	TACC1	interacts_with	0.409
AGO1	DNMT3A	interacts_with	0.846
AGO1	FAM172A	interacts_with	0.439
AGO1	H2BC5	interacts_with	0.55
AGO1	HDAC1	interacts_with	0.909
AGO1	IGF2BP3	interacts_with	0.571
AGO1	MAML2	interacts_with	0.499
AGO1	MOV10	interacts_with	0.988
AGO1	NCBP2	interacts_with	0.622
AGO1	NOTCH1	interacts_with	0.566
AHCYL1	AHCYL2	interacts_with	0.964
AHCYL1	BHMT	interacts_with	0.974
AHCYL1	DNMT3A	interacts_with	0.915
AHCYL1	DNMT3B	interacts_with	0.913
AHCYL1	TACC1	interacts_with	0.471
AHCYL2	BHMT	interacts_with	0.975
AHCYL2	DNMT3A	interacts_with	0.913
AHCYL2	DNMT3B	interacts_with	0.913
AK2	AMPD2	interacts_with	0.766
