ID	Description	GeneRatio	pvalue	p.adjust	geneID	method	gene.name	list.name	list.count
hsa05017	Spinocerebellar ataxia	17/208	6.54551229486429e-08	1.26225323592059e-05	6310/773/1600/2890/2911/5173/5290/23236/5691/5692/5693/5695/5702/5705/5713/9821/11317	KEGG	ATXN1/CACNA1A/DAB1/GRIA1/GRM1/PDYN/PIK3CA/PLCB1/PSMB3/PSMB4/PSMB5/PSMB7/PSMC3/PSMC5/PSMD7/RB1CC1/RBPJL	PL/Zhang	2
hsa00230	Purine metabolism	16/208	8.796189797356e-08	1.26225323592059e-05	55811/204/50808/271/124583/957/955/377841/2272/4830/654364/4831/4832/4833/5137/5142	KEGG	ADCY10/AK2/AK3/AMPD2/CANT1/ENTPD5/ENTPD6/ENTPD8/FHIT/NME1/NME1-NME2/NME2/NME3/NME4/PDE1C/PDE4B	Zhang/PL	2
hsa01232	Nucleotide metabolism	13/208	1.35365082811962e-07	1.29499262556777e-05	204/50808/271/124583/957/955/377841/4830/654364/4831/4832/4833/115024	KEGG	AK2/AK3/AMPD2/CANT1/ENTPD5/ENTPD6/ENTPD8/NME1/NME1-NME2/NME2/NME3/NME4/NT5C3B	Zhang	1
hsa00240	Pyrimidine metabolism	10/208	1.4896849969394e-06	0.000106884898530402	124583/957/955/377841/4830/654364/4831/4832/4833/115024	KEGG	CANT1/ENTPD5/ENTPD6/ENTPD8/NME1/NME1-NME2/NME2/NME3/NME4/NT5C3B	Zhang	1
hsa01240	Biosynthesis of cofactors	15/208	5.59278052598787e-06	0.000321025602191704	204/50808/80347/326625/4830/654364/4831/4832/4833/53354/80025/79646/60490/55312/7390	KEGG	AK2/AK3/COASY/MMAB/NME1/NME1-NME2/NME2/NME3/NME4/PANK1/PANK2/PANK3/PPCDC/RFK/UROS	Zhang/PL	2
hsa03050	Proteasome	8/208	1.41076198085857e-05	0.000674814480844018	5691/5692/5693/5695/5698/5702/5705/5713	KEGG	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
hsa00770	Pantothenate and CoA biosynthesis	5/208	0.000129182033537171	0.00529646337502402	80347/53354/80025/79646/60490	KEGG	COASY/PANK1/PANK2/PANK3/PPCDC	Zhang	1
hsa05165	Human papillomavirus infection	20/208	0.000189669019841089	0.00680437608679908	1286/10488/9586/1740/1856/2885/3065/3107/84441/4851/4893/84612/5290/5315/5520/5521/5590/11317/7098/7249	KEGG	COL4A4/CREB3/CREB5/DLG2/DVL2/GRB2/HDAC1/HLA-C/MAML2/NOTCH1/NRAS/PARD6B/PIK3CA/PKM/PPP2R2A/PPP2R2B/PRKCZ/RBPJL/TLR3/TSC2	PL/Zhang	2
hsa04211	Longevity regulating pathway	9/208	0.00036004570653096	0.0114814575304873	10488/9586/79813/3480/3630/4893/5290/9821/7249	KEGG	CREB3/CREB5/EHMT1/IGF1R/INS/NRAS/PIK3CA/RB1CC1/TSC2	Zhang/PL	2
hsa04330	Notch signaling pathway	7/208	0.000714111943248298	0.0204950127712262	6310/1856/3065/84441/9612/4851/11317	KEGG	ATXN1/DVL2/HDAC1/MAML2/NCOR2/NOTCH1/RBPJL	PL/Zhang	2
hsa04930	Type II diabetes mellitus	6/208	0.000868214114909949	0.0226524955435596	773/776/3630/5290/5315/5590	KEGG	CACNA1A/CACNA1D/INS/PIK3CA/PKM/PRKCZ	PL/Zhang	2
hsa05031	Amphetamine addiction	7/208	0.00149543951883107	0.0357659284920431	776/815/10488/9586/2890/3065/5173	KEGG	CACNA1D/CAMK2A/CREB3/CREB5/GRIA1/HDAC1/PDYN	PL/Zhang	2
hsa05020	Prion disease	15/208	0.00185770413113284	0.041012391202702	776/10488/9586/4851/5290/5691/5692/5693/5695/5702/5705/5713/6262/6263/203068	KEGG	CACNA1D/CREB3/CREB5/NOTCH1/PIK3CA/PSMB3/PSMB4/PSMB5/PSMB7/PSMC3/PSMC5/PSMD7/RYR2/RYR3/TUBB	PL/Zhang	2
hsa04724	Glutamatergic synapse	9/208	0.00223918374230874	0.0437747987343766	773/776/9229/2890/2897/2911/2917/9455/23236	KEGG	CACNA1A/CACNA1D/DLGAP1/GRIA1/GRIK1/GRM1/GRM7/HOMER2/PLCB1	PL/Zhang	2
