name	NCBI.id	list.name	list.count	comp	degree	strength	score
AAMDC	28971	PL	1	1	0	0	0
ABCA1	19	PL	1	2	12	6.855	0.342510242830019
ABCC6	368	PL	1	2	1	0.851	0.0425202358349155
ABHD12	26090	PL	1	3	0	0	0
ACE	1636	Zhang	1	2	8	4.621	0.230888378135305
ACOX3	8310	PL	1	2	5	2.472	0.123513540521635
ACTL8	81569	PL	1	4	0	0	0
ACTR3C	653857	PL	1	5	0	0	0
ADAMTS2	9509	PL	1	6	0	0	0
ADCY10	55811	Zhang	1	2	11	7.755	0.387478764864595
ADGRL2	23266	Zhang	1	2	5	3.184	0.159088637953433
ADPRH	141	PL	1	7	0	0	0
ADTRP	84830	PL	1	2	1	0.428	0.0213850304786649
AFF1	4299	PL	1	2	3	1.803	0.0900869391426002
AFF3	3899	PL	1	2	3	1.752	0.0875387228939742
AGO1	26523	Zhang	1	2	10	6.553	0.327420805436195
AHCYL1	10768	Zhang	1	2	5	4.237	0.211701808733886
AHCYL2	23382	Zhang	1	2	4	3.765	0.188118317177975
AK2	204	Zhang	1	2	11	8.664	0.432896972119516
AK3	50808	Zhang	1	2	11	10.182	0.508743879284501
AKAP6	9472	PL	1	2	5	3.161	0.157939442390327
ALDOB	229	PL	1	2	3	2.069	0.103377635655041
AMPD2	271	Zhang	1	2	10	8.16	0.407714599780154
ANGPT1	284	PL	1	2	7	4.004	0.200059958029379
ANKS1B	56899	PL	1	2	5	2.417	0.120765464175077
ANO3	63982	PL	1	8	0	0	0
ANO4	121601	PL	1	9	0	0	0
ARHGAP8	23779	PL	1	10	0	0	0
ASB2	51676	PL	1	2	1	0.662	0.0330768462076546
ASB3	51130	PL	1	2	1	0.414	0.0206855201359049
ASXL3	80816	PL	1	2	2	0.885	0.0442190466673329
ATCAY	85300	PL	1	11	0	0	0
ATP4B	496	Zhang	1	12	0	0	0
ATXN1	6310	PL	1	2	6	4.555	0.227590686519436
BAG6	7917	PL	1	2	4	2.152	0.107524732687119
BAIAP2	10458	Zhang	1	2	10	5.469	0.273258718896772
BCCIP	56647	PL	1	2	4	3.144	0.157090036974118
BCL2L1	598	Zhang	1	2	14	7.017	0.350604576796243
BHMT	635	Zhang	1	2	3	2.378	0.118816828220246
BNC2	54796	PL	1	13	0	0	0
BNIP1	662	Zhang	1	2	2	1.446	0.0722494254022184
BRF1	2972	PL	1	14	0	0	0
BTBD2	55643	PL	1	2	1	0.903	0.0451184171080244
BTBD7	55727	PL	1	2	1	0.48	0.0239832117517738
BTBD9	114781	PL	1	2	3	1.928	0.0963325672029579
BUB3	9184	Zhang	1	2	7	4.189	0.209303487558709
C18orf63	644041	PL	1	15	0	0	0
C1orf87	127795	PL	1	16	0	0	0
C20orf173	140873	PL	1	17	0	0	0
C3	718	PL	1	2	12	5.978	0.298690916358549
C4orf45	152940	PL	1	18	0	0	0
C5orf47	133491	PL	1	2	2	0.926	0.0462676126711302
CA2	760	Zhang	1	19	0	0	0
CACNA1A	773	PL	1	2	14	8.926	0.445987808534026
CACNA1D	776	PL	1	2	12	8.325	0.415958828819826
CACNA2D3	55799	Zhang	1	2	7	5.199	0.259768162286399
CAMK2A	815	Zhang	1	2	28	17.467	0.87273908264215
CANT1	124583	Zhang	1	2	13	10.3	0.514639752173479
CBFA2T3	863	PL	1	2	2	1.295	0.0647047067053063
CCDC148	130940	PL	1	20	0	0	0
CCDC149	91050	PL	1	2	1	0.539	0.0269311481962626
CCDC171	203238	PL	1	21	0	0	0
CCDC85A	114800	PL	1	22	0	0	0
CD22	933	PL	1	2	6	3.719	0.185819926051764
CD82	3732	PL	1	2	1	0.581	0.0290296792245428
CD8B	926	PL	1	2	1	0.705	0.0352253422604177
CDC14A	8556	Zhang	1	2	4	2.56	0.127910462676127
CDC23	8697	Zhang	1	2	13	7.028	0.351154192065554
CDC6	990	Zhang	1	2	18	9.198	0.459578295193365
CDH12	1010	PL	1	2	2	1.548	0.0773458578994704
CDH13	1012	PL	1	2	8	4.471	0.223393624462876
CDR2	1039	Zhang	1	2	1	0.556	0.0277805536124713
CELF2	10659	PL	1	2	2	1.019	0.0509143599480364
CEP19	84984	PL	1	23	0	0	0
CH25H	9023	PL	1	2	2	1.476	0.0737483761367043
CHCHD6	84303	PL	1	24	1	0.988	0.0493654441890676
